year,l_under_0.1,l_0.2-0.4,l_0.5-0.7,l_0.8-1.0,l_1.1-1.5,l_1.6-2.0
2011-01-01,151956.0,809720.0,2050483.0,4360250.0,3512604.0,145119.0
2011-01-02,151877.9497498969,809800.418392342,2050875.1693617282,4361010.7456257045,3513245.8073965656,145094.63059189977
2011-01-03,151800.06095307227,809880.582792313,2051266.4683513802,4361769.58822336,3513885.9757791357,145070.26354469004
2011-01-04,151722.33360952607,809960.4931999132,2051656.8969689554,4362526.527792962,3514524.505147709,145045.8988583708
2011-01-05,151644.76771925832,810040.149615142,2052046.4552144543,4363281.564334515,3515161.395502287,145021.53653294206
2011-01-06,151567.36328226904,810119.552038,2052435.1430878772,4364034.697848018,3515796.6468428685,144997.17656840387
2011-01-07,151490.12029855823,810198.700468487,2052822.9605892238,4364785.9283334715,3516430.259169455,144972.81896475618
2011-01-08,151413.0387681258,810277.5949066031,2053209.9077184938,4365535.255790873,3517062.2324820454,144948.46372199897
2011-01-09,151336.11869097187,810356.2353523481,2053595.9844756874,4366282.680220224,3517692.5667806393,144924.11084013229
2011-01-10,151259.36006709645,810434.6218057222,2053981.190860805,4367028.201621526,3518321.2620652383,144899.76031915614
2011-01-11,151182.76289649942,810512.7542667254,2054365.526873846,4367771.819994777,3518948.318335841,144875.41215907046
2011-01-12,151106.32717918084,810590.6327353574,2054748.9925148115,4368513.535339979,3519573.7355924477,144851.06635987535
2011-01-13,151030.0529151407,810668.2572116185,2055131.5877836994,4369253.347657129,3520197.5138350585,144826.72292157068
2011-01-14,150953.94010437906,810745.6276955085,2055513.3126805117,4369991.25694623,3520819.653063673,144802.38184415654
2011-01-15,150877.9887468958,810822.7441870276,2055894.1672052473,4370727.263207279,3521440.153278292,144778.04312763293
2011-01-16,150802.19884269108,810899.6066861757,2056274.1513579066,4371461.3664402785,3522059.0144789154,144753.7067719998
2011-01-17,150726.57039176478,810976.2151929529,2056653.26513849,4372193.566645228,3522676.236665543,144729.37277725723
2011-01-18,150651.10339411692,811052.569707359,2057031.5085469966,4372923.863822128,3523291.819838174,144705.04114340513
2011-01-19,150575.79784974753,811128.6702293942,2057408.8815834273,4373652.257970978,3523905.76399681,144680.71187044357
