year,r_under_0.1,r_0.2-0.4,r_0.5-0.7,r_0.8-1.0,r_1.1-1.5,r_1.6-2.0
2011-01-01,154576.0,812001.0,2039710.0,4364846.0,3493083.0,130366.0
2011-01-02,154507.3655498625,812076.7356954371,2040077.7582524952,4365649.0230405275,3493677.6420020866,130330.34686408094
2011-01-03,154438.83905658632,812152.2508048612,2040444.762361348,4366450.141874975,3494270.763887799,130294.724473226
2011-01-04,154370.42052017152,812227.5453282725,2040811.0123265586,4367249.356503343,3494862.3656571363,130259.1328274352
2011-01-05,154302.10994061807,812302.6192656707,2041176.5081481263,4368046.666925633,3495452.447310099,130223.57192670851
2011-01-06,154233.907317926,812377.4726170562,2041541.2498260518,4368842.073141845,3496041.0088466876,130188.04177104597
2011-01-07,154165.81265209528,812452.105382429,2041905.2373603352,4369635.575151981,3496628.050266902,130152.54236044761
2011-01-08,154097.8259431259,812526.5175617888,2042268.4707509764,4370427.172956035,3497213.571570741,130117.07369491333
2011-01-09,154029.9471910179,812600.7091551356,2042630.9499979748,4371216.866554012,3497797.5727582052,130081.63577444319
2011-01-10,153962.17639577127,812674.6801624697,2042992.6751013314,4372004.65594591,3498380.0538292956,130046.2285990372
2011-01-11,153894.51355738597,812748.430583791,2043353.6460610454,4372790.541131729,3498961.0147840115,130010.85216869533
2011-01-12,153826.9586758621,812821.9604190993,2043713.862877117,4373574.522111471,3499540.4556223527,129975.50648341762
2011-01-13,153759.51175119952,812895.2696683947,2044073.3255495462,4374356.598885133,3500118.3763443185,129940.19154320401
2011-01-14,153692.1727833983,812968.3583316774,2044432.034078333,4375136.771452718,3500694.7769499104,129904.90734805455
2011-01-15,153624.94177245846,813041.226408947,2044789.9884634775,4375915.039814224,3501269.657439128,129869.65389796923
2011-01-16,153557.81871837997,813113.8739002038,2045147.1887049798,4376691.403969651,3501843.0178119703,129834.43119294803
2011-01-17,153490.80362116286,813186.300805448,2045503.6348028402,4377465.863919,3502414.8580684387,129799.23923299099
2011-01-18,153423.89648080713,813258.5071246792,2045859.3267570576,4378238.419662272,3502985.1782085327,129764.07801809808
2011-01-19,153357.09729731275,813330.4928578975,2046214.264567633,4379009.071199463,3503553.9782322524,129728.9475482693
2011-01-20,153290.40607067972,813402.258005103,2046568.4482345658,4379777.818530578,3504121.258139597,129693.84782350465
2011-01-21,153223.82280090803,813473.8025662955,2046921.8777578562,4380544.661655612,3504687.0179305663,129658.77884380412
2011-01-22,153157.34748799776,813545.1265414754,2047274.5531375047,4381309.60057457,3505251.257605163,129623.74060916774
2011-01-23,153090.98013194877,813616.2299306421,2047626.4743735103,4382072.635287448,3505813.9771633837,129588.7331195955
2011-01-24,153024.7207327612,813687.112733796,2047977.6414658742,4382833.765794247,3506375.1766052297,129553.75637508738
2011-01-25,152958.56929043494,813757.7749509371,2048328.0544145952,4383592.992094969,3506934.8559307014,129518.8103756434
2011-01-26,152892.52580497012,813828.2165820653,2048677.7132196743,4384350.314189612,3507493.015139799,129483.89512126356
2011-01-27,152826.5902763666,813898.4376271808,2049026.6178811106,4385105.732078176,3508049.6542325215,129449.01061194786
2011-01-28,152760.76270462442,813968.4380862833,2049374.7683989047,4385859.2457606625,3508604.7732088696,129414.15684769627
2011-01-29,152695.04308974367,814038.217959373,2049722.164773057,4386610.8552370705,3509158.372068844,129379.33382850885
2011-01-30,152629.43143172422,814107.77724645,2050068.8070035663,4387360.560507399,3509710.4508124427,129344.54155438555
2011-01-31,152563.92773056618,814177.1159475137,2050414.6950904333,4388108.361571649,3510261.009439667,129309.78002532637
2011-02-01,152498.53198626943,814246.2340625648,2050759.8290336581,4388854.258429822,3510810.047950517,129275.04924133132
2011-02-02,152433.24419883415,814315.131591603,2051104.2088332407,4389598.251081916,3511357.5663449927,129240.34920240044
2011-02-03,152368.06436826012,814383.8085346285,2051447.8344891807,4390340.339527931,3511903.564623093,129205.67990853367
2011-02-04,152302.99249454748,814452.2648916409,2051790.7060014782,4391080.523767866,3512448.0427848194,129171.04135973103
2011-02-05,152238.0285776963,814520.5006626406,2052132.8233701342,4391818.803801726,3512991.0008301716,129136.43355599255
2011-02-06,152173.17261770635,814588.5158476273,2052474.186595147,4392555.179629507,3513532.4387591486,129101.85649731818
2011-02-07,152108.42461457782,814656.3104466012,2052814.795676518,4393289.651251207,3514072.356571751,129067.31018370794
2011-02-08,152043.78456831063,814723.8844595623,2053154.6506142463,4394022.21866683,3514610.754267979,129032.79461516185
2011-02-09,151979.25247890482,814791.2378865104,2053493.7514083325,4394752.881876375,3515147.6318478333,128998.3097916799
2011-02-10,151914.82834636036,814858.3707274457,2053832.0980587765,4395481.640879841,3515682.989311312,128963.85571326208
2011-02-11,151850.51217067728,814925.2829823683,2054169.6905655775,4396208.495677228,3516216.826658416,128929.43237990838
2011-02-12,151786.30395185555,814991.9746512778,2054506.5289287367,4396933.446268537,3516749.1438891464,128895.03979161884
